txt,coef_corr_chroma,corr_total,coef_corr_spectra,id,keyMidi,tempoMidi,durationMidi,keyWAV,tempoWAV,durationWav,name,key,time_signature,ratio_negras_corcheas,muiñeira_type,location,lat,lon,classification,province,audio_kind
Ribeirana de Redondela,0.9077571723262354,Chroma,0.8844053944044953,445,C,120.0147705078125,26.5,C,126.61648559570312,245.9999847412109,Ribeirana de Redondela,C major,6/8,0.2419354838709677,C1,"Redondela, Pontevedra",42.284.221,-86.085.992,Rias Baixas,PO,YTB
Muiñeira de Cernades,0.9153103415992797,Chroma,0.9105849824941241,196,C,120.00286102294922,64.25,C,122.5329818725586,45.376914978027344,Muiñeira de Cernades,a minor,6/8,0.2105263157894736,C1,Pontevedra,426.075.172,-84.714.942,Rias Baixas,PO,REC
Muiñeira de Monterrei,0.8210458935383892,Chroma,0.8192380969574045,74,C,129.45957946777344,34.2307243347168,C,122.4056167602539,95.81619262695312,Muiñeira de Monterrei,a minor,6/8,0.2131147540983606,C1,"Monterrei, Ourense",419.467.657,-74.491.474,Portuguese Border,OU,REC
Muiñeira de Montrove,0.973194657510566,Chroma,0.8737914325620253,19,C,80.02771759033203,83.75,C,111.0893096923828,45.376914978027344,Muiñeira de Montrove,C major,6/8,0.3818181818181818,C2,"Montrove, Cambre, A Coruña",432.803.751,-83.297.129,A Coruña,CO,REC
Muiñeira de Forcarei,0.7330210978124849,Chroma,0.6825763415165232,141,C,80.0146255493164,74.5,C,150.335205078125,167.04432678222656,Muiñeira de Forcarei,G major,6/8,0.2266666666666666,C1,"Forcarei, Pontevedra",425.900.309,-83.509.643,Rias Baixas,PO,YTB
Muiñeira do Areal,0.9802260339850795,Chroma,0.9764007342961734,249,C,119.9866943359375,83.75,C,111.7928466796875,95.81619262695312,Muiñeira do Areal,C major,6/8,0.134453781512605,C1,Lugo,430.462.247,-74.739.921,Not classified,LU,REC
Muiñeira de Xinzo,0.9986347935016161,Chroma,0.9789128771095249,140,C,120.0358657836914,109.25,C,107.76451873779295,95.81619262695312,Muiñeira de Xinzo,F major,6/8,0.1019108280254777,C1,"Xinzo de Limia, Ourense",420.637.882,-77.245.498,Portuguese Border,OU,REC
Muiñeira de Cartelle,0.9587499097895689,Chroma,0.7553537905402162,263,C,119.9057846069336,74.5,C,135.73455810546875,144.49331665039062,Muiñeira de Cartelle,C major,6/8,0.3214285714285714,C2,"Cartelle, Ourense",422.492.308,-80.688.652,Not classified,OU,YTB
Muiñeira de Florencio,0.9669853929395674,Spectra,0.9810900665020107,121,C,120.17414093017578,68.75,C,102.76292419433594,45.376914978027344,Muiñeira de Florencio,F major,6/8,0.1529411764705882,C1,"A Fonsagrada, Lugo",431.248.311,-70.676.605,A Fonsagrada-Asturias,LU,REC
Muiñeira de Valdeferreiros,0.9214187890114262,Chroma,0.6567131703925034,330,C,119.99065399169922,116.75,C,132.75863647460938,143.66664123535156,Muiñeira de Valdeferreiros,C major,6/8,0.112,C1,"Valdeferreiros, Ibias, Asturies",430.289.283,-69.803.187,Ancares,LU,YTB
Muliñeira de Romeor,0.9582517036244125,Chroma,0.9345114017382093,123,C,119.9911880493164,82.25,C,120.19747924804688,95.81619262695312,Muliñeira de Romeor,C major,6/8,0.0744680851063829,C1,"Romeor, Folgoso do Courel, Lugo",426.407.659,-70.946.001,Courel,LU,REC
Muiñeira de Chantada,0.9377375381618663,Spectra,0.9585785231680786,219,C,79.99272918701172,152.75,C,112.01817321777344,95.81619262695312,Muiñeira de Chantada,C major,6/8,0.3888888888888889,C2,"Chantada, Lugo",426.089.783,-78.218.597,Not classified,LU,REC
