txt,distance_chroma,distance_spectra,distance_total,coef_corr_chroma,corr_total,coef_corr_spectra,id,keyMidi,tempoMidi,durationMidi,keyWAV,tempoWAV,durationWav,name,key,time_signature,ratio_negras_corcheas,muiñeira_type,location,lat,lon,classification,province,audio_kind,difDuration,rounded_difDuration,difTempo,rounded_difTempo
Muiñeira da Fonsagrada,16.768541785286214,19.767673405377263,Chroma,0.9544915834001346,Spectra,0.9554871524924196,130,C,119.99610900878906,82.25,C,117.20484161376952,45.376914978027344,Muiñeira da Fonsagrada,C major,6/8,0.1195652173913043,C1,"A Fonsagrada, Lugo",431.248.311,-70.676.605,A Fonsagrada-Asturias,LU,REC,-36.873085021972656,-40.0,-2.7912673950195455,-0.0
Muiñeira da Fonsagrada,16.768541785286214,19.767673405377263,Chroma,0.9544915834001346,Spectra,0.9554871524924196,260,C,120.02972412109376,116.75,C,112.18809509277344,96.5920181274414,Muiñeira da Fonsagrada,C major,6/8,0.0814814814814814,C2,"A Fonsagrada, Lugo",431.248.311,-70.676.605,A Fonsagrada-Asturias,LU,REC,-20.157981872558594,-20.0,-7.841629028320327,-10.0
Muiñeira de Oliveira,7.892833750817071,7.949049901723857,Chroma,0.9979416336865056,Chroma,0.9932914199435112,126,C,80.00122833251953,61.0,C,129.50559997558594,140.94509887695312,Muiñeira de Oliveira,C major,6/8,0.96,,"Santiago de Oliveira, Ponteareas, Pontevedra",421.822.609,-84.523.004,Rias Baixas,PO,REC,79.94509887695312,80.0,49.504371643066406,50.0
Muiñeira do Hío,29.173747852850624,50.8225287007758,Chroma,0.98036705703328,Chroma,0.9082661462227178,416,C,119.98046875,68.75,C,142.6953582763672,139.06431579589844,Muiñeira do Hío,C major,6/8,0.1785714285714285,C1,"Hío, Cangas, Pontevedra",422.728.376,-8.841.498,Rias Baixas,PO,YTB,70.31431579589844,70.0,22.714889526367188,20.0
Muiñeira de Negros,18.556762115369946,6.593010671413122,Spectra,0.9247677017478096,Spectra,0.9496391954939588,287,C,119.95962524414062,74.5,C,90.64321899414062,46.06539535522461,Muiñeira de Negros,C major,6/8,0.3444444444444444,C1,"Negros, Redondela, Pontevedra",422.598.627,-86.216.602,Rias Baixas,PO,REC,-28.43460464477539,-30.0,-29.31640625,-30.0
Muiñeira de Parada de Achas,96.8034328494474,41.88714302483536,Spectra,0.2301362551104737,Spectra,0.9801524949103462,362,C,119.86011505126952,28.25,C,142.64553833007812,115.44961547851562,Muiñeira de Parada de Achas,c minor,6/8,0.1506849315068493,,"Parada de Achas, A Cañiza, Pontevedra",42.173.403,-830.473.225,Rias Baixas,PO,YTB,87.19961547851562,90.0,22.785423278808608,20.0
Muiñeira do Molete,16.547280361403534,19.187733325652207,Chroma,0.9522268862858226,Spectra,0.9527551545552376,317,C,80.00248718261719,82.25,C,112.43946075439452,45.376914978027344,Muiñeira do Molete,C major,6/8,0.2985074626865671,C2,Pontevedra,426.075.172,-84.714.942,Rias Baixas,PO,REC,-36.873085021972656,-40.0,32.43697357177733,30.0
Muiñeira de Vilarmide,7.142858218615105,45.19935869929273,Chroma,0.9611729616407408,Spectra,0.9682854744930404,450,C,119.99526977539062,127.25,C,123.97909545898438,236.19337463378903,Muiñeira de Vilarmide,C major,6/8,0.0920245398773006,C2,"Vilarmide, A Pontenova, Lugo",432.789.245,-71.913.498,A Fonsagrada-Asturias,LU,YTB,108.94337463378903,110.0,3.98382568359375,0.0
Muiñeira do Condado,8.193438602053453,9.504034872082372,Chroma,0.9448603203825184,Spectra,0.9550517633801638,203,C,120.0809555053711,68.75,C,103.3843002319336,95.81619262695312,Muiñeira do Condado,C major,6/8,0.1063829787234042,C1,"O Condado, Pontevedra",4.217.671.145,-8.488.781.069.275.160,Rias Baixas,PO,REC,27.066192626953125,30.0,-16.6966552734375,-20.0
Muiñeira de Pol,2.7626660418316837,2.729200966796316,Spectra,0.9862513370543076,Chroma,0.985886009383042,52,C,132.0460968017578,30.99995422363281,C,122.4806137084961,45.376914978027344,Muiñeira de Pol,C major,6/8,0.1294117647058823,C1,"Pol, Lugo",4.314.281.665,-7.321.889.132.285.170,A Fonsagrada-Asturias,LU,REC,14.376960754394535,10.0,-9.565483093261719,-10.0
Muiñeira de Ramelle,10.677536374794498,16.8579771194305,Chroma,0.9986404833275142,Chroma,0.9833898813703588,341,C,120.06150817871094,82.25,C,129.10836791992188,62.62421798706055,Muiñeira de Ramelle,c minor,6/8,0.108695652173913,C2,"Ramelle, Friol, Lugo",430.338.813,-78.263.409,Not classified,LU,YTB,-19.625782012939453,-20.0,9.046859741210938,10.0
Muiñeira de Desiderio,10.65830966951038,52.32608419832737,Chroma,0.9893314271918188,Chroma,0.6676845812662732,161,C,120.02371978759766,125.75,C,117.1698989868164,95.81619262695312,Muiñeira de Desiderio,C major,6/8,0.1176470588235294,C1,"Vilarmide, A Pontenova, Lugo",432.789.245,-71.913.498,A Fonsagrada-Asturias,LU,YTB,-29.933807373046875,-30.0,-2.85382080078125,-0.0
Muiñeira de Quindous,16.49169467353364,17.82033523978019,Chroma,0.7601921075097199,Chroma,0.7318529020801953,2,C,112.33152770996094,107.7646484375,C,117.6005859375,45.376914978027344,Muiñeira de Quindous,C major,6/8,0.3125,C1,"Quindous, Cervantes, Lugo",428.556.407,-69.957.933,Ancares,LU,REC,-62.387733459472656,-60.0,5.2690582275390625,10.0
