# score_time, perf_time
0.000000000000000000e+00,6.942766439909297205e+00
1.160997732426303879e-02,6.954376417233560481e+00
2.321995464852607757e-02,6.965986394557822869e+00
3.482993197278911462e-02,6.977596371882086146e+00
4.643990929705215515e-02,6.989206349206349422e+00
5.804988662131519567e-02,7.000816326530612699e+00
6.965986394557822925e-02,7.012426303854875087e+00
8.126984126984126977e-02,7.024036281179138363e+00
9.287981859410431029e-02,7.035646258503401640e+00
1.044897959183673508e-01,7.047256235827664916e+00
1.160997732426303913e-01,7.058866213151927305e+00
1.277097505668934319e-01,7.070476190476190581e+00
1.393197278911564585e-01,7.082086167800453858e+00
1.509297052154195129e-01,7.093696145124717134e+00
1.625396825396825395e-01,7.105306122448979522e+00
1.741496598639455939e-01,7.116916099773242799e+00
1.857596371882086206e-01,7.128526077097506075e+00
1.973696145124716472e-01,7.140136054421768463e+00
2.089795918367347016e-01,7.151746031746031740e+00
2.205895691609977283e-01,7.163356009070295016e+00
2.321995464852607827e-01,7.174965986394558293e+00
2.438095238095238093e-01,7.186575963718820681e+00
2.554195011337868637e-01,7.198185941043083957e+00
2.670294784580499181e-01,7.209795918367347234e+00
2.786394557823129170e-01,7.221405895691610510e+00
2.902494331065759714e-01,7.233015873015872899e+00
3.018594104308390258e-01,7.244625850340136175e+00
3.134693877551020247e-01,7.256235827664399451e+00
3.250793650793650791e-01,7.267845804988661840e+00
3.366893424036281335e-01,7.279455782312925116e+00
3.482993197278911879e-01,7.291065759637188393e+00
3.599092970521541868e-01,7.302675736961451669e+00
3.715192743764172412e-01,7.314285714285714057e+00
3.831292517006802956e-01,7.325895691609977334e+00
3.947392290249432945e-01,7.337505668934240610e+00
4.063492063492063489e-01,7.349115646258503887e+00
4.179591836734694033e-01,7.360725623582766275e+00
4.295691609977324577e-01,7.372335600907029551e+00
4.411791383219954565e-01,7.383945578231292828e+00
4.527891156462585109e-01,7.395555555555556104e+00
4.643990929705215653e-01,7.407165532879818493e+00
4.760090702947845642e-01,7.418775510204081769e+00
4.876190476190476186e-01,7.430385487528345045e+00
4.992290249433106730e-01,7.441995464852607434e+00
5.108390022675737274e-01,7.453605442176870710e+00
5.224489795918367818e-01,7.465215419501133987e+00
5.340589569160998362e-01,7.476825396825397263e+00
5.456689342403627796e-01,7.488435374149659651e+00
5.572789115646258340e-01,7.500045351473922928e+00
5.688888888888888884e-01,7.511655328798186204e+00
5.804988662131519428e-01,7.523265306122449481e+00
5.921088435374149972e-01,7.534875283446711869e+00
6.037188208616780516e-01,7.546485260770975145e+00
6.153287981859411060e-01,7.558095238095238422e+00
6.269387755102040494e-01,7.569705215419501698e+00
6.385487528344671038e-01,7.581315192743764086e+00
6.501587301587301582e-01,7.592925170068027363e+00
6.617687074829932126e-01,7.604535147392290639e+00
6.733786848072562670e-01,7.616145124716553028e+00
6.849886621315193214e-01,7.627755102040816304e+00
6.965986394557823758e-01,7.639365079365079580e+00
7.082086167800453191e-01,1.099464852607709808e+01
7.198185941043083735e-01,1.100625850340136047e+01
7.314285714285714279e-01,1.101786848072562464e+01
7.430385487528344823e-01,1.102947845804988702e+01
7.546485260770975367e-01,1.104108843537414941e+01
7.662585034013605911e-01,1.105269841269841358e+01
7.778684807256236455e-01,1.106430839002267597e+01
7.894784580498865889e-01,1.107591836734693835e+01
8.010884353741496433e-01,1.108752834467120252e+01
8.126984126984126977e-01,1.109913832199546491e+01
8.243083900226757521e-01,1.111074829931972729e+01
8.359183673469388065e-01,1.112235827664399146e+01
8.475283446712018609e-01,1.113396825396825385e+01
8.591383219954649153e-01,1.114557823129251801e+01
8.707482993197278587e-01,1.115718820861678040e+01
8.823582766439909131e-01,1.116879818594104279e+01
8.939682539682539675e-01,1.118040816326530695e+01
9.055782312925170219e-01,1.119201814058956934e+01
9.171882086167800763e-01,1.120362811791383173e+01
9.287981859410431307e-01,1.121523809523809589e+01
9.404081632653061851e-01,1.122684807256235828e+01
9.520181405895691285e-01,1.123845804988662067e+01
9.636281179138321829e-01,1.125006802721088484e+01
9.752380952380952372e-01,1.126167800453514722e+01
9.868480725623582916e-01,1.127328798185941139e+01
9.984580498866213460e-01,1.128489795918367378e+01
1.010068027210884400e+00,1.129650793650793617e+01
1.021678004535147455e+00,1.130811791383220033e+01
1.033287981859410509e+00,1.131972789115646272e+01
1.044897959183673564e+00,1.133133786848072511e+01
1.056507936507936618e+00,1.134294784580498927e+01
1.068117913832199672e+00,1.135455782312925166e+01
1.079727891156462505e+00,1.136616780045351582e+01
1.091337868480725559e+00,1.137777777777777821e+01
1.102947845804988614e+00,1.138938775510204060e+01
1.114557823129251668e+00,1.140099773242630476e+01
1.126167800453514722e+00,1.141260770975056715e+01
1.137777777777777777e+00,1.142421768707482954e+01
1.149387755102040831e+00,1.143582766439909371e+01
1.160997732426303886e+00,1.144743764172335609e+01
1.172607709750566940e+00,1.145904761904761848e+01
1.184217687074829994e+00,1.147065759637188265e+01
1.195827664399093049e+00,1.148226757369614504e+01
