# score_time, perf_time
0.000000000000000000e+00,2.786394557823129170e-01
1.160997732426303879e-02,2.902494331065759714e-01
2.321995464852607757e-02,3.018594104308390258e-01
3.482993197278911462e-02,3.134693877551020247e-01
4.643990929705215515e-02,3.250793650793650791e-01
5.804988662131519567e-02,3.366893424036281335e-01
6.965986394557822925e-02,3.482993197278911879e-01
8.126984126984126977e-02,3.599092970521541868e-01
9.287981859410431029e-02,3.715192743764172412e-01
1.044897959183673508e-01,3.831292517006802956e-01
1.160997732426303913e-01,3.947392290249432945e-01
1.277097505668934319e-01,4.063492063492063489e-01
1.393197278911564585e-01,4.179591836734694033e-01
1.509297052154195129e-01,4.295691609977324577e-01
1.625396825396825395e-01,4.411791383219954565e-01
1.741496598639455939e-01,4.527891156462585109e-01
1.857596371882086206e-01,4.643990929705215653e-01
1.973696145124716472e-01,4.760090702947845642e-01
2.089795918367347016e-01,4.876190476190476186e-01
2.205895691609977283e-01,4.992290249433106730e-01
2.321995464852607827e-01,5.108390022675737274e-01
2.438095238095238093e-01,5.224489795918367818e-01
2.554195011337868637e-01,5.340589569160998362e-01
2.670294784580499181e-01,5.456689342403627796e-01
2.786394557823129170e-01,5.572789115646258340e-01
2.902494331065759714e-01,5.688888888888888884e-01
3.018594104308390258e-01,5.804988662131519428e-01
3.134693877551020247e-01,5.921088435374149972e-01
3.250793650793650791e-01,6.037188208616780516e-01
3.366893424036281335e-01,6.153287981859411060e-01
3.482993197278911879e-01,6.269387755102040494e-01
3.599092970521541868e-01,6.385487528344671038e-01
3.715192743764172412e-01,6.501587301587301582e-01
3.831292517006802956e-01,6.617687074829932126e-01
3.947392290249432945e-01,6.733786848072562670e-01
4.063492063492063489e-01,6.849886621315193214e-01
4.179591836734694033e-01,6.965986394557823758e-01
4.295691609977324577e-01,7.082086167800453191e-01
4.411791383219954565e-01,7.198185941043083735e-01
4.527891156462585109e-01,7.314285714285714279e-01
4.643990929705215653e-01,7.430385487528344823e-01
4.760090702947845642e-01,7.546485260770975367e-01
4.876190476190476186e-01,7.662585034013605911e-01
4.992290249433106730e-01,7.778684807256236455e-01
5.108390022675737274e-01,7.894784580498865889e-01
5.224489795918367818e-01,8.010884353741496433e-01
